station,latitude,longitude
"14th & Harvard St NW	", 38.9265708,-77.0346026
"Crystal Dr & Potomac Ave	", 38.8483237,-77.0536895
"Potomac Ave & Main Line Blvd	", 38.8227299,-77.0510447
"Madison & Fairfax St	", 38.8124631,-77.0430437
"4th & W St NE	", 38.9191777,-77.005056
"Georgia Ave & Emerson St NW	", 38.9497342,-77.029324
"Lincoln Memorial	", 38.8892686,-77.0523647
"Benning Branch Library	", 38.894099,-76.9499537
"Mississippi Ave & 19th St SE / THEARC	", 38.843818,-76.9784507
"Rockville Metro West	", 39.0853788,-77.1537992
"37th & Ely Pl SE / Fort Dupont Ice Arena	", 38.883368,-76.9536347
"Park Rd & Holmead Pl NW	", 38.9309272,-77.0330557
"Commonwealth & E Monroe Ave	", 38.8200818,-77.0652116
"S Walter Reed Dr & 8th St S	", 38.8656307,-77.0899152
"Alabama & MLK Ave SE	", 38.8427375,-77.005047
"Temporary Rd & Old Reston Ave	", 38.9601667,-77.355214
"17th St & Massachusetts Ave NW	", 38.9079364,-77.0401164
"20th & L St NW	", 38.9037429,-77.0470819
"Connecticut Ave & Yuma St NW	", 38.9467383,-77.0671928
"Maryland Ave & E St NE	", 38.8961873,-76.993954
"N Lynn St & Fairfax Dr	", 38.8933017,-77.0734534
"Westpark & Jones Branch Dr	", 38.9252469,-77.2211045
"Branch & Pennsylvania Ave SE	", 38.8698094,-76.9624708
"10th & Monroe St NE	", 38.9324632,-76.9948161
"18th St & Rhode Island Ave NE	", 38.9277143,-76.9813077
"Reston Pkwy & Spectrum Dr	", 38.9642573,-77.3568998
"Tenleytown / Wisconsin Ave & Albemarle St NW	", 38.9479287,-77.0818723
"Fleet St & Waterfront St	", 38.7823934,-77.0183426
"Offutt Ln & Chevy Chase Dr	", 38.9769568,-77.0967543
"Wisconsin Ave & Newark St NW	", 38.9346366,-77.074713
"3rd & H St NE	", 38.900148,-77.0042336
"Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center	", 38.914821,-77.010092
"Maple & Ritchie Ave	", 38.9834543,-77.0087173
"Vermont Ave & I St NW	", 38.9013405,-77.0390743
"61st St & Banks Pl NE	", 38.891968,-76.9158517
"10th St & Constitution Ave NW	", 38.8921062,-77.0280923
"Kennedy Center	", 38.8958482,-77.0578714
"Perry & 35th St	", 38.9363462,-76.9619605
"Columbia Pike & S Orme St	", 38.8664388,-77.0741556
"Takoma Park Rec Center	", 38.9825603,-76.9902154
"Mount Vernon Ave & Kennedy St	", 38.8329284,-77.0620811
"Fessenden St & Wisconsin Ave NW	", 38.9547117,-77.084831
"East West Hwy & Blair Mill Rd	", 38.9900123,-77.0312408
"20th St & Virginia Ave NW	", 38.8945839,-77.0473512
"Tysons Corner Station	", 38.9206324,-77.2244281
"17th St & Independence Ave SW	", 38.8879587,-77.04093
"Friendship Blvd & Willard Ave	", 38.9620617,-77.0911503
"Adams Mill & Columbia Rd NW	", 38.9226795,-77.0448561
"North Shore Dr & Village Rd	", 38.9702792,-77.3431983
"25th St & Pennsylvania Ave NW	", 38.9036639,-77.05549
"New Hampshire & Kirklynn Ave	", 38.988073,-76.990096
"10th & Florida Ave NW	", 38.920534,-77.0281807
"Crystal Dr & 27th St S	", 38.8482279,-77.0537294
"N Veitch  & 20th St N	", 38.8968023,-77.0886694
"Central Library / N Quincy St & 10th St N	", 38.8831125,-77.1100066
"Trinidad Rec Center	", 38.9065757,-76.9849927
"Pleasant St & MLK Ave SE	", 38.863932,-76.9924694
"Maryland Ave & 17th St NE	", 38.901927,-76.9811827
"11th & Kenyon St NW	", 38.929685,-77.029937
"Lincoln Park / 13th & East Capitol St NE 	", 38.889545,-76.990516
"Commerce St & Fayette St	", 38.8056046,-77.0546692
"Connecticut Ave & R St NW	", 38.9125984,-77.0472707
"Randle Circle & Minnesota Ave SE	", 38.8785387,-76.9633143
"16th & Irving St NW	", 38.9286821,-77.0386459
"Old Georgetown Rd & Southwick St	", 38.9994025,-77.1117243
"S Glebe & Potomac Ave	", 38.8428468,-77.0523329
"5th & Kennedy St NW	", 38.9581798,-77.0243768
"10th & U St NW	", 38.917007,-77.0281744
"Washington & Independence Ave SW/HHS	", 38.8875751,-77.031808
"Columbia Rd & Georgia Ave NW	", 38.9281258,-77.0252927
"Good Hope & Naylor Rd SE	", 38.8606583,-76.9709677
"Rhode Island Ave & V St NE	", 38.9180402,-77.0078758
"Hains Point/Buckeye & Ohio Dr SW	", 38.8786531,-77.031792
"New Hampshire Ave & T St NW	", 38.9155803,-77.0400855
"Connecticut Ave & Tilden St NW	", 38.9409107,-77.0638186
"Cordell & Norfolk Ave	", 38.989398,-77.1002637
